date;heure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;outdoorTemp;outletWaterTemp;PCforHeat;206;time;tempToKeep;hygroToKeep
2023-11-17;23:13:12;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;1B;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;4F;11.0;32.0;0.0;;2023-11-17 23:13:12;20.13182;68.462235
2023-11-17;23:13:38;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;1B;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;4F;11.0;32.0;0.0;;2023-11-17 23:13:38;20.12216;68.48416999999999
2023-11-17;23:14:04;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;1B;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;4F;11.0;32.0;0.0;;2023-11-17 23:14:04;20.11276;68.505655
2023-11-17;23:14:30;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;1B;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;4F;11.0;32.0;0.0;;2023-11-17 23:14:30;20.103675;68.523685
2023-11-17;23:14:56;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;57;11.0;32.0;0.0;;2023-11-17 23:14:56;20.09501;68.53688
2023-11-17;23:15:22;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;A0;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;57;11.0;32.0;0.0;;2023-11-17 23:15:22;20.086385;68.54893500000001
2023-11-17;23:15:48;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;9F;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;58;11.0;32.0;0.0;;2023-11-17 23:15:48;20.07816;68.556835
2023-11-17;23:16:14;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A3;9F;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;58;11.0;32.0;0.0;;2023-11-17 23:16:14;20.070220000000003;68.56165000000001
2023-11-17;23:16:40;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;A0;0;0;8B;A2;A0;32;32;B0;A7;32;32;32;80;B0;A2;9F;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;59;11.0;32.0;0.0;;2023-11-17 23:16:40;20.06246;68.565525
2023-11-17;23:17:06;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;23;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;9F;0;0;8B;A2;9F;32;32;B0;A7;32;32;32;80;B0;A2;9F;92;9B;8B;93;95;96;92;36;1;01;01;0;0;22;00;01;01;01;01;79;79;1;1;C0;1A;0;05;17;0;1;0;0;1;0;0;0D;2;01;01;1;1;1;1;0;0;0;4B;11.0;31.0;0.0;;2023-11-17 23:17:06;20.054825;68.569375
